Column1,행정구,행정동,인구수,사업체수,종사자수,집 개수,소득,10대 비율,20대 비율,3040 비율,65세 이상 비율,행정동명,버스정류장 개수,지하철역 개수,자동차 등록대수,도로 평균 속도
282,마포구,연남동,15229,3103,8438,5648,2980162,0.047869197,0.21531289,0.351369098,0.161862237,연남동,21,0,4080,15.02
283,서대문구,연희동,37274,3420,13243,11675,3383749,0.061463755,0.238986961,0.287814562,0.169796641,연희동,57,0,9990,18.81
284,마포구,염리동,17693,1106,5256,3186,4051438,0.096478833,0.162324083,0.346408184,0.121121347,염리동,9,0,5236,17.14
285,강서구,염창동,41471,3097,16227,13248,4127504,0.105181934,0.130549058,0.354247546,0.116442815,염창동,36,0,15499,20.45
286,영등포구,영등포동,31338,14943,41886,7586,3570107,0.027027889,0.26479035,0.397121705,0.11302572,영등포동,49,2,10571,16.81
287,영등포구,영등포본동,22651,1924,6381,6404,3286751,0.051918238,0.129265816,0.291731049,0.200874134,영등포본동,20,1,6261,16.46
288,송파구,오금동,37799,3613,19900,12963,3510674,0.07886452,0.12584989,0.281621207,0.189528824,오금동,38,1,13805,15.41
289,구로구,오류1동,23432,1733,5168,6927,2574851,0.04784056,0.180821099,0.335225333,0.185344828,오류1동,14,1,6882,20.39
290,구로구,오류2동,38189,2420,8474,13985,2781178,0.104925502,0.111655189,0.285448689,0.202702349,오류2동,58,1,14046,16.12
291,송파구,오륜동,17870,728,4992,5543,6095160,0.14224958,0.108282037,0.261947398,0.179462787,오륜동,24,3,6680,13.44
292,성동구,옥수동,25698,1506,4717,9899,4836487,0.063779282,0.097089268,0.354307728,0.171258464,옥수동,40,2,8857,17.4
293,성동구,왕십리2동,16508,1232,2948,5060,3474994,0.065059365,0.143385025,0.31863339,0.165556094,왕십리2동,14,1,4485,17.01
294,성동구,왕십리도선동,26830,3234,11495,8480,4015131,0.061721953,0.159411107,0.318635855,0.151285874,왕십리도선동,26,0,8066,15.35
295,마포구,용강동,21690,4088,23581,7309,4787212,0.100046104,0.096173352,0.364499769,0.143107423,용강동,23,1,9488,23.33
296,성동구,용답동,12915,2497,12834,2504,2484354,0.045296167,0.24258614,0.278358498,0.176926055,용답동,11,3,7795,18.77
297,용산구,용문동,11577,963,2159,4231,3568910,0.056404941,0.143992399,0.308370044,0.194696381,용문동,17,2,3368,12.95
298,용산구,용산2가동,10229,844,2129,3243,2540319,0.048782872,0.160817284,0.342066673,0.204809854,용산2가동,27,1,2124,17.51
299,동대문구,용신동,40016,6982,30470,8495,2894254,0.049180328,0.195771691,0.324595162,0.163634546,용신동,38,5,10209,17.47
300,강북구,우이동,20118,1557,5515,7122,2457144,0.062928721,0.117556417,0.256287901,0.25251019,우이동,34,3,5875,20.06
301,강서구,우장산동,44041,2508,7147,13395,4135674,0.124361391,0.119683931,0.309779524,0.147748689,우장산동,28,1,13841,16.34
302,용산구,원효로1동,17837,2634,12179,5251,4450695,0.056904188,0.167404833,0.403711386,0.118966194,원효로1동,23,0,6336,15.87
303,용산구,원효로2동,13792,1564,7229,4631,3817026,0.073593387,0.141313805,0.31337007,0.177276682,원효로2동,23,0,5039,20.94
304,노원구,월계1동,21384,1921,6647,7568,2777397,0.073325851,0.192340067,0.251215862,0.206135428,월계1동,44,0,6728,17.44
305,노원구,월계2동,25745,1436,3961,11477,2728093,0.074383375,0.108836667,0.260050495,0.242804428,월계2동,40,1,7806,19.47
306,노원구,월계3동,28989,1536,4525,12688,3110675,0.066335507,0.112008003,0.293697609,0.226430715,월계3동,24,1,8861,21.09
307,성북구,월곡1동,25909,1841,5848,8267,3294213,0.094947702,0.111775831,0.28935891,0.195839284,월곡1동,21,0,7481,15.29
308,성북구,월곡2동,19652,2162,11083,5672,3138026,0.073020558,0.193415428,0.269539996,0.194382251,월곡2동,27,2,5277,20.8
309,송파구,위례동,44922,1264,5146,9962,4202887,0.13670362,0.094786519,0.361604559,0.0843462,위례동,58,0,15102,18.42
310,관악구,은천동,33014,2434,7925,10519,3063077,0.078148664,0.159174895,0.303871085,0.189858848,은천동,42,0,8686,14.37
311,중구,을지로동,3206,9784,31528,422,3082514,0.024329382,0.160636307,0.424204616,0.154709919,을지로동,17,4,1610,15.24
312,성동구,응봉동,15042,682,1162,5322,3858472,0.101050392,0.111820237,0.312059567,0.174644329,응봉동,33,1,4547,18.35
313,은평구,응암1동,33075,2605,8853,7341,2726133,0.08,0.130279667,0.329191232,0.169674981,응암1동,23,0,9505,15.96
314,은평구,응암2동,27782,1284,3096,9263,3510245,0.093045857,0.090166295,0.358505507,0.154704485,응암2동,35,0,8786,15.39
315,은평구,응암3동,23916,2467,6002,6999,2360910,0.054524168,0.143711323,0.270613815,0.246278642,응암3동,25,0,5715,15.3
316,동대문구,이문1동,21364,1641,6654,4948,3000929,0.06244149,0.365427823,0.214941022,0.154090994,이문1동,27,1,4081,16.9
317,동대문구,이문2동,19988,1049,2385,6280,3137841,0.080898539,0.147738643,0.263057835,0.212677607,이문2동,10,1,5343,16.95
318,용산구,이촌1동,25578,1387,4107,9540,5974291,0.106263195,0.100437876,0.288255532,0.173977637,이촌1동,21,0,8907,18.68
319,용산구,이촌2동,7997,558,1183,3415,3596083,0.058646993,0.102538452,0.307615356,0.227835438,이촌2동,11,0,2709,22.03
320,용산구,이태원1동,7890,1871,6544,2198,3682946,0.043346008,0.172496831,0.355386565,0.175411914,이태원1동,15,1,2310,17.05
321,용산구,이태원2동,10263,1285,3282,3058,3261019,0.054175192,0.143817597,0.361005554,0.184448992,이태원2동,21,0,2528,18.77
322,종로구,이화동,7566,1673,17365,2624,3024996,0.04493788,0.25257732,0.287205921,0.183980967,이화동,20,1,1714,13.56
323,강북구,인수동,29501,2226,6650,10128,2359990,0.066607912,0.122809396,0.252533812,0.252262635,인수동,49,0,7514,15.37
324,관악구,인헌동,25948,1609,4684,6849,2783693,0.052219824,0.232079544,0.321412055,0.162363188,인헌동,23,1,5909,14.95
325,강남구,일원1동,14806,1708,6381,4792,3022931,0.067945428,0.134540051,0.287586114,0.236525733,일원1동,15,0,4607,20.48
326,강남구,일원본동,22876,732,10021,7280,5444886,0.142944571,0.099012065,0.300926735,0.153960483,일원본동,27,1,8307,17.3
327,광진구,자양1동,22840,2303,9645,5398,2745988,0.063879159,0.181523643,0.316987741,0.167469352,자양1동,13,0,7654,14.82
328,광진구,자양2동,23995,2196,7033,7066,2999213,0.071014795,0.136861846,0.30806418,0.180037508,자양2동,14,0,8278,28.14
329,광진구,자양3동,27567,1922,7600,8582,4353416,0.088293975,0.128668335,0.298327711,0.169151522,자양3동,19,0,9386,20.43
330,광진구,자양4동,23303,2197,6234,4613,2795134,0.044543621,0.191606231,0.291078402,0.1785607,자양4동,12,1,5139,29.6
331,송파구,잠실2동,35016,1137,4639,11241,6352641,0.167095042,0.095299292,0.325194197,0.114033585,잠실2동,7,1,12195,23.65
332,송파구,잠실3동,34047,2115,8502,11046,5452682,0.119305666,0.103944547,0.286016389,0.183980967,잠실3동,26,0,12045,19.41
333,송파구,잠실4동,21242,633,1906,6866,6007987,0.124752848,0.087091611,0.324828171,0.146925902,잠실4동,9,2,10216,15.82
334,송파구,잠실6동,16631,3492,55275,5372,5237775,0.103842222,0.106487884,0.291984848,0.188743912,잠실6동,15,2,12281,22.73
335,송파구,잠실7동,9446,335,1259,3198,6014516,0.095596019,0.118568706,0.232691086,0.244336227,잠실7동,4,2,3642,16.16
336,송파구,잠실본동,28233,4300,21755,9583,3079387,0.053766869,0.179506252,0.374880459,0.143342897,잠실본동,13,1,8851,16.59
337,서초구,잠원동,26982,3812,20974,11494,5458458,0.125972871,0.125083389,0.308761396,0.13338522,잠원동,24,1,9994,20.14
338,동대문구,장안1동,38147,6654,22326,11799,2863708,0.067082602,0.133562272,0.32322332,0.184994888,장안1동,27,0,12984,18.68
339,동대문구,장안2동,32859,3956,12725,9852,2920490,0.087008126,0.115158708,0.321860069,0.172738063,장안2동,33,0,10665,15.65
340,성북구,장위1동,23708,1532,3104,6134,2231978,0.074152185,0.131854226,0.287540071,0.182723131,장위1동,33,0,6535,14.71
341,성북구,장위2동,13482,1538,3865,4120,2411293,0.058893339,0.137516689,0.265020027,0.238911141,장위2동,27,1,3290,14.98
342,성북구,장위3동,15800,877,2429,6078,3113825,0.084303797,0.126139241,0.316962025,0.144746835,장위3동,36,0,5084,14.84
343,송파구,장지동,28786,1968,9283,11732,3263464,0.083408601,0.124609185,0.310359202,0.168693115,장지동,43,1,10964,19.38
344,중구,장충동,5440,1041,9357,2433,2895026,0.058272059,0.325183824,0.255147059,0.163419118,장충동,13,1,1304,13.76
345,동대문구,전농1동,31659,3020,7638,8308,3070695,0.063173189,0.159101677,0.283394927,0.191098898,전농1동,31,2,7491,16.51
346,동대문구,전농2동,18556,1358,5460,6437,3136080,0.086441043,0.122494072,0.268322914,0.210767407,전농2동,12,0,5449,15.29
347,성북구,정릉1동,18070,1275,2752,5856,3341356,0.093082457,0.127670172,0.297177643,0.181239624,정릉1동,16,1,6152,14.1
348,성북구,정릉2동,22874,1422,3344,8211,2934717,0.071347381,0.13963452,0.273585731,0.210282417,정릉2동,46,0,6441,14.8
349,성북구,정릉3동,16742,1042,5404,5359,2482564,0.064209772,0.277864054,0.218372954,0.20666587,정릉3동,32,0,3615,22.63
350,성북구,정릉4동,24624,1524,5018,8993,3038165,0.08264295,0.136492853,0.267868746,0.2097141,정릉4동,34,1,7238,18
351,동대문구,제기동,25808,5355,13094,7896,2792227,0.053433044,0.236903286,0.234423435,0.224232796,제기동,27,1,6448,16.12
352,관악구,조원동,21013,2707,7336,4180,2523192,0.041069814,0.219911483,0.342264313,0.153714367,조원동,26,0,4995,15.23
353,종로구,종로1.2.3.4가동,8648,17286,107067,1652,3245251,0.054000925,0.149398705,0.297409806,0.208024977,종로1·2·3·4가동,68,0,6317,15.91
354,종로구,종로5.6가동,5916,7972,22872,1319,2531450,0.043441515,0.246112238,0.270114943,0.182048682,종로5·6가동,18,0,1749,15.1
355,성북구,종암동,39799,2858,8433,12235,3381883,0.090328903,0.17176311,0.270383678,0.180984447,종암동,59,0,10601,21.11
356,노원구,중계1동,26419,1470,4522,8743,4623227,0.199439797,0.108104016,0.289147962,0.101858511,중계1동,18,0,8457,15.26
357,노원구,중계2.3동,32780,2047,5777,14301,2936682,0.083160464,0.112873703,0.267541184,0.239109213,중계2·3동,31,0,8493,16.75
358,노원구,중계4동,19284,1410,4285,7706,3196660,0.100653391,0.123210952,0.245955196,0.220389961,중계4동,7,0,5719,16.12
359,노원구,중계본동,23125,1724,5840,8088,4197248,0.181881081,0.126313514,0.259545946,0.118702703,중계본동,18,0,7840,14.95
360,광진구,중곡1동,15640,2152,6363,3613,2542359,0.044117647,0.187659847,0.327749361,0.172186701,중곡1동,18,0,4771,23.89
361,광진구,중곡2동,20950,2350,7380,4986,2555101,0.061050119,0.163102625,0.318902148,0.17026253,중곡2동,17,0,5212,16.91
362,광진구,중곡3동,16032,1764,5019,3870,2390961,0.053393214,0.149638224,0.307260479,0.189558383,중곡3동,21,1,4020,21.92
363,광진구,중곡4동,28032,1707,4257,7366,2523958,0.061536815,0.143906963,0.278538813,0.19916524,중곡4동,34,0,7429,16.39
364,중구,중림동,12372,1340,9166,4324,4435938,0.059004203,0.109036534,0.343840931,0.181053993,중림동,11,0,3822,14.21
365,관악구,중앙동,15691,1658,6950,3591,2633493,0.035306864,0.295201071,0.320311006,0.158562233,중앙동,14,0,2983,12.44
366,중랑구,중화1동,19068,1565,4476,5691,2518956,0.061674009,0.126232431,0.300293686,0.209565765,중화1동,14,0,5571,17.59
367,중랑구,중화2동,24417,2584,7044,6553,2253552,0.041692264,0.139492976,0.281566122,0.218986772,중화2동,28,2,6185,19.9
368,은평구,증산동,18523,1345,4363,4864,2838450,0.074447984,0.129730605,0.28694056,0.199967608,증산동,11,1,5125,21.85
369,은평구,진관동,54718,3137,13270,17146,4070863,0.13030447,0.123615629,0.284458496,0.165247268,진관동,71,1,17867,19.76
370,도봉구,창1동,24281,2141,4381,9024,3038009,0.079444833,0.12553025,0.282854907,0.207610889,창1동,21,2,8208,16.37
371,도봉구,창2동,28577,2020,4978,8798,2551630,0.072015957,0.135108654,0.283339749,0.198726248,창2동,25,0,8164,16.31
372,도봉구,창3동,13389,1241,2511,3977,2229423,0.070206886,0.114048846,0.262304877,0.233027112,창3동,14,0,3646,17.09
373,도봉구,창4동,26124,1861,7981,10132,3547959,0.090414944,0.128655642,0.276642168,0.180983004,창4동,37,1,8501,18.01
374,도봉구,창5동,24069,2547,7316,8681,3298026,0.071876688,0.134986913,0.278241722,0.200756159,창5동,18,1,7758,15.71
375,종로구,창신1동,5350,2686,6266,1589,2393308,0.03682243,0.168785047,0.248971963,0.228598131,창신1동,8,2,1197,14.88
376,종로구,창신2동,8641,1062,2192,2466,2112817,0.041661845,0.177988659,0.227404236,0.221502141,창신2동,1,0,1432,17.30245283
377,종로구,창신3동,6539,439,1128,2150,3006052,0.064535862,0.139012081,0.273283377,0.199418871,창신3동,6,1,1657,16.44
378,서대문구,천연동,16835,1131,3259,6081,4197718,0.075556876,0.12046332,0.283813484,0.199405999,천연동,37,1,4895,18.5
379,강동구,천호1동,26396,2331,5974,8035,2473111,0.058531596,0.127329898,0.292695863,0.215676618,천호1동,19,1,8730,13.56
380,강동구,천호2동,33613,4863,14840,9362,2749741,0.050099664,0.140778865,0.331508642,0.188944754,천호2동,26,0,9412,21.15
381,강동구,천호3동,26672,2545,9343,7964,3165328,0.041654169,0.165154469,0.327084583,0.186862627,천호3동,12,0,7608,17.28
382,중구,청구동,13318,1244,4497,4928,3566241,0.056915453,0.128773089,0.29493918,0.218876708,청구동,5,0,3544,15.14
383,강남구,청담동,25085,7024,43117,9731,5010204,0.090253139,0.130595974,0.331552721,0.155790313,청담동,26,0,11873,17.6
384,동대문구,청량리동,19405,1909,8278,6209,2860315,0.050141716,0.129399639,0.23231126,0.287863953,청량리동,24,0,5086,18.42
385,관악구,청룡동,37042,2742,12505,7921,2768161,0.042141353,0.3261163,0.312375142,0.131688354,청룡동,17,2,7592,14.32
386,관악구,청림동,14908,729,1615,5263,3682775,0.074322511,0.112691173,0.317078079,0.195130131,청림동,8,0,4357,15.99
387,종로구,청운효자동,11539,1477,7888,4134,3780222,0.096022186,0.122107635,0.303492504,0.188231216,청운효자동,29,0,3584,16.4
388,용산구,청파동,19786,2186,9850,5636,2608804,0.052158092,0.229202466,0.298089558,0.166835136,청파동,24,0,4277,15.87
389,서대문구,충현동,20176,2995,23946,6573,3210231,0.06378866,0.156473037,0.316365979,0.176149881,충현동,43,3,7007,18.68
390,종로구,평창동,17635,1321,4321,5958,4504006,0.086872696,0.116983272,0.263680181,0.203742557,평창동,54,0,6629,18.53
391,송파구,풍납1동,12409,946,2522,3296,3011150,0.05810299,0.108550246,0.276654041,0.230558466,풍납1동,6,1,4284,26.56
392,송파구,풍납2동,24048,1772,16405,7608,3891704,0.078592814,0.14412841,0.316699933,0.173611111,풍납2동,25,0,7824,21.65
393,중구,필동,4858,3600,24470,1191,3033044,0.04610951,0.274392754,0.276451214,0.18032112,필동,10,2,2110,14.87
394,노원구,하계1동,26877,1615,8965,10466,3611061,0.113442721,0.18257246,0.229117833,0.180414481,하계1동,32,0,7494,15.97
395,노원구,하계2동,21432,778,1687,8160,3625940,0.116974617,0.122946995,0.279022023,0.165500187,하계2동,22,1,6220,22.75
396,용산구,한강로동,22811,6669,48562,6769,4948344,0.052913068,0.144404016,0.371399763,0.14457937,한강로동,41,6,12285,14.98
397,용산구,한남동,21237,3473,21250,8174,4381088,0.064604228,0.112539436,0.358949004,0.174883458,한남동,39,2,7488,17.51
398,마포구,합정동,16828,4019,13457,6319,3195027,0.045281673,0.18843594,0.367661041,0.159793202,합정동,30,2,6345,32.04
399,구로구,항동,16534,888,2816,6173,3007261,0.09035926,0.084976412,0.389863312,0.115338091,항동,31,0,3539,16.57
400,성동구,행당1동,13996,1578,9587,4990,3900841,0.071448985,0.166333238,0.310517291,0.159974278,행당1동,26,3,4222,15.14
401,성동구,행당2동,22970,1031,2412,8481,4408744,0.08127993,0.114714845,0.307966913,0.179625599,행당2동,25,1,6717,16.54
402,관악구,행운동,29595,2060,7295,7088,2889475,0.042980233,0.268660247,0.326845751,0.154722081,행운동,15,0,6251,14.54
403,종로구,혜화동,19491,2235,8819,5065,3333112,0.074085475,0.370786517,0.219485917,0.138063722,혜화동,37,0,3505,15.72
404,서대문구,홍은1동,22491,1479,3187,7308,3093859,0.068916455,0.121604197,0.277800009,0.212929616,홍은1동,32,0,7100,15.25
405,서대문구,홍은2동,29508,2077,6630,9267,2874442,0.077029958,0.156838823,0.280771316,0.190422936,홍은2동,71,0,7363,19.82
406,서대문구,홍제1동,25083,1548,5601,8022,3459117,0.072000957,0.126340549,0.2923494,0.200255153,홍제1동,22,2,6553,19.13
407,서대문구,홍제2동,13313,829,2259,4993,3664523,0.066476376,0.120558852,0.272215128,0.214001352,홍제2동,9,0,3685,14.5
408,서대문구,홍제3동,17908,1383,3882,4969,2807766,0.06248604,0.126703149,0.271777976,0.226826,홍제3동,41,0,4622,22.73
409,강서구,화곡1동,52242,4150,10810,18754,2485455,0.043087937,0.177041461,0.349431492,0.174131925,화곡1동,27,2,15999,14.84
410,강서구,화곡2동,17489,1283,2827,6093,2385531,0.073817828,0.138715764,0.318028475,0.179198353,화곡2동,29,0,4832,17.98
411,강서구,화곡3동,21394,1690,4397,6665,3132782,0.073852482,0.143077498,0.294989249,0.209170796,화곡3동,9,0,6431,13.23
412,강서구,화곡4동,20133,1928,4315,7053,2423768,0.061739433,0.127402772,0.307356082,0.208861074,화곡4동,29,0,5844,19.46
413,강서구,화곡6동,25022,2456,12040,8085,3040513,0.058668372,0.173167613,0.324034849,0.174046839,화곡6동,29,0,7847,16.14
414,강서구,화곡8동,23993,1748,4385,9035,2473381,0.05947568,0.151960989,0.317134164,0.198224482,화곡8동,27,0,6098,15.54
415,강서구,화곡본동,33523,2177,4919,12605,2398795,0.066402172,0.168898965,0.343644662,0.159054977,화곡본동,25,0,9200,13.59
416,광진구,화양동,27844,3072,16195,5296,2470026,0.037458698,0.491380549,0.265874156,0.086122684,화양동,20,2,4140,15.37
417,중구,황학동,13614,2487,5992,3959,3247840,0.037094168,0.182091964,0.371455854,0.156530043,황학동,7,0,3461,13.29
418,동대문구,회기동,13581,1293,10348,3115,3217279,0.063250129,0.452985789,0.215963478,0.114498196,회기동,9,0,2124,15.61
419,중구,회현동,5107,9246,46229,1744,4442451,0.052476992,0.096338359,0.25729391,0.264734678,회현동,34,5,11612,15.35
420,용산구,효창동,10828,702,2596,3463,3523201,0.062615441,0.152290358,0.337827854,0.14794976,효창동,15,0,3246,16.11
421,용산구,후암동,16540,1367,4605,5363,3013677,0.068621524,0.137484885,0.320798065,0.185247884,후암동,16,0,4014,18.46
422,동대문구,휘경1동,16168,1285,3690,4327,2722774,0.05541811,0.348713508,0.244804552,0.135267194,휘경1동,13,1,3932,22.15
423,동대문구,휘경2동,25288,1665,5457,6802,3071586,0.07734894,0.261151534,0.251028156,0.167549826,휘경2동,18,0,6353,15.97
424,동작구,흑석동,32366,2136,11037,9613,4224946,0.074337268,0.195297534,0.279398134,0.160353457,흑석동,48,1,9097,15.36